Shape of X: 918, 20
Shape of Y: 918, 1
Shape of X_train: 734, 20
Shape of X_test: 184, 20
Shape of Y_train: 734, 1
Shape of Y_test: 184, 1
Training...
Epoch 1/10, Batch 147/147
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 1.000000
Y_hat: 0.747419, Y_test: 0.000000
Accuracy: 0.467391
